word,part_of_speech,definition,example_sentence,example_hint,api_phonetic,api_phonetics,api_audio,api_partOfSpeech,api_definitions,api_synonyms,api_antonyms
refute,v.,to prove wrong  regurgitate 1.  to vomit  2.  to throw back exactly  relegate 1.  to assign to the proper place  2.  to assign to an inferior place,Maria refuted the president’s argument as she yelled and gesticulated at the TV.,Maria ______d the president’s argument as she yelled and gesticulated at the TV.,,,,,,,
relish,v.,to enjoy,Pete always relished his bedtime snack.,Pete always ______ed his bedtime snack.,,,,,,,
remedial,adj.,intended to repair gaps in students’ basic knowledge,"After his teacher discovered he couldn’t read, Alex was forced to enroll in remedial English.","After his teacher discovered he couldn’t read, Alex was forced to enroll in ________ English.",/ɹɪˈmiːdɪəl/,/ɹɪˈmiːdɪəl/; /ɹɪˈmidi.əl/,,adjective,Curative; providing a remedy; Intended to correct or improve deficient skills in some subject,,
remiss,adj.,"negligent, failing to take care  R SAT Vocabulary renovate 1.  restore, return to original state  2.  to enlarge and make prettier, especially a house","The burglar gained entrance because the security guard, remiss in his duties, forgot to lock the door.","The burglar gained entrance because the security guard, ______ in his duties, forgot to lock the door.",/ɹəˈmɪs/,/ɹəˈmɪs/,https://api.dictionaryapi.dev/media/pronunciations/en/remiss-us.mp3,adjective,"At fault; failing to fulfill responsibility, duty, or obligations.; Not energetic or exact in duty or business; careless; tardy; slack; hence, lacking earnestness or activity; languid; slow.",,
renown,n.,"honor, acclaim",The young writer earned international renown by winning the Pulitzer Prize.,The young writer earned international ______ by winning the Pulitzer Prize.,/ɹɪˈnaʊn/,/ɹɪˈnaʊn/,,noun; verb,Fame; celebrity; wide recognition.; Reports of nobleness or exploits; praise.; To make famous.,,
renunciation,n.,to reject,"Fiona’s renunciation of red meat resulted in weight loss, but confused those people who thought she’d been a vegetarian for years.","Fiona’s ____________ of red meat resulted in weight loss, but confused those people who thought she’d been a vegetarian for years.",,,,noun,"The act of rejecting or renouncing something as invalid; The resignation of an ecclesiastical office; The act by which a person abandons a right acquired, but without transferring it to another.; In the Anglican baptismal service, the part in which the candidate in person or by his sureties renounces the Devil and all his works.",,
repentant,adj.,"penitent, sorry",The repentant Dennis apologized profusely for breaking his mother’s vase.,The _________ Dennis apologized profusely for breaking his mother’s vase.,,,,noun; adjective,One who repents; a penitent.; Feeling or showing sorrow for wrongdoing.,,
replete,adj.,"full, abundant",The unedited version was replete with naughty words.,The unedited version was _______ with naughty words.,/ɹɪˈpliːt/,/ɹɪˈpliːt/,https://api.dictionaryapi.dev/media/pronunciations/en/replete-us.mp3,noun; verb; adjective,"A honeypot ant.; To fill to repletion, or restore something that has been depleted.; Abounding.; Gorged, filled to near the point of bursting, especially with food or drink.",,
repose,v.,"to rest, lie down","The cat, after eating an entire can of tuna fish, reposed in the sun and took a long nap.","The cat, after eating an entire can of tuna fish, ______d in the sun and took a long nap.",,,,verb,To pose again.,,
reprehensible,adj.,deserving rebuke,Jean’s cruel and reprehensible attempt to dump her boyfriend on his birthday led to tears and recriminations.,Jean’s cruel and _____________ attempt to dump her boyfriend on his birthday led to tears and recriminations.,,,,noun; adjective,"A reprehensible person; a villain.; Blameworthy, censurable, guilty.; Deserving of reprehension.",,
reprieve,n.,a temporary delay of punishment,"Because the governor woke up in a particularly good mood, he granted hundreds of reprieves to prisoners.","Because the governor woke up in a particularly good mood, he granted hundreds of ________s to prisoners.",/ɹɪˈpɹiːv/,/ɹɪˈpɹiːv/,https://api.dictionaryapi.dev/media/pronunciations/en/reprieve-us.mp3,noun; verb,"The cancellation or postponement of a punishment.; A document authorizing such an action.; Relief from pain etc., especially temporary.; To cancel or postpone the punishment of someone, especially an execution.; To bring relief to someone.; To take back to prison (in lieu of execution).",,
reproach,v.,"to scold, disapprove",Brian reproached the customer for failing to rewind the video he had rented.,Brian ________ed the customer for failing to rewind the video he had rented.,,/ɹɪˈpɹəʊtʃ/; /ɹɪˈpɹoʊtʃ/,https://api.dictionaryapi.dev/media/pronunciations/en/reproach-au.mp3; https://api.dictionaryapi.dev/media/pronunciations/en/reproach-us.mp3,noun; verb,"A mild rebuke, or an implied criticism.; Disgrace or shame.; An object of scorn.; To criticize or rebuke (someone).; To disgrace, or bring shame upon.",,
reprobate,adj.,"evil, unprincipled",The reprobate criminal sat sneering in the cell.,The _________ criminal sat sneering in the cell.,/ˈɹɛpɹəbeɪt/,/ˈɹɛpɹəbeɪt/,https://api.dictionaryapi.dev/media/pronunciations/en/reprobate-2-uk.mp3,verb,"To have strong disapproval of something; to reprove; to condemn.; Of God: to abandon or reject, to deny eternal bliss.; To refuse, set aside.",,
reprove,v.,"to scold, rebuke",Lara reproved her son for sticking each and every one of his fingers into the strawberry pie.,Lara _______d her son for sticking each and every one of his fingers into the strawberry pie.,,,,verb,To prove again.,,
repudiate,v.,"to reject, refuse to accept  repulse 1.  to disgust  2.  to push back","Kwame made a strong case for an extension of his curfew, but his mother repudiated it with a few biting words.","Kwame made a strong case for an extension of his curfew, but his mother _________d it with a few biting words.",,/ɹəˈpjuː.di.eɪt/; /ɹəˈpjuː.di.eɪt/,https://api.dictionaryapi.dev/media/pronunciations/en/repudiate-au.mp3; https://api.dictionaryapi.dev/media/pronunciations/en/repudiate-us.mp3,verb,To reject the truth or validity of; to deny.; To refuse to have anything to do with; to disown.; To refuse to pay or honor (a debt).; To be repudiated.,gainsay; forswear; disavow; deny; contradict; welsh,
reputable,adj.,of good reputation,"After the most reputable critic in the industry gave the novel a glowing review, sales took off.","After the most _________ critic in the industry gave the novel a glowing review, sales took off.",/ˈɹɛpjʊtəbəl/,/ˈɹɛpjʊtəbəl/,https://api.dictionaryapi.dev/media/pronunciations/en/reputable-uk.mp3,adjective,Having a good reputation; honourable.,,
requisition,n.,"a demand for goods, usually made by an authority","During the war, the government made a requisition of supplies.","During the war, the government made a ___________ of supplies.",,,,noun; verb,"A formal request for something.; That which is required by authority; especially, a quota of supplies or necessaries.; A call; an invitation; a summons.; To demand something, especially for a military need of staff, supplies or transport.",,
rescind,v.,"to take back, repeal  SAT Vocabulary R reservoir 1.  reserves, large supply  2.  a body of water used for storing water",The company rescinded its offer of employment after discovering that Jane’s resume was full of lies.,The company _______ed its offer of employment after discovering that Jane’s resume was full of lies.,,,,,,,
resilient,adj.,able to recover from misfortune; able to withstand adversity,The resilient ballplayer quickly recovered from his wrist injury.,The _________ ballplayer quickly recovered from his wrist injury.,,,,,,,
resolute,adj.,"firm, determined  resolve 1.  to find a solution  2.  to firmly decide","With a resolute glint in her eye, Catherine announced that she was set on going to college in New York City even though she was a little frightened of tall buildings.","With a ________ glint in her eye, Catherine announced that she was set on going to college in New York City even though she was a little frightened of tall buildings.",,,,,,,
respite,n.,"a break, rest",Justin left the pub to gain a brief respite from the smoke and noise.,Justin left the pub to gain a brief _______ from the smoke and noise.,,,,,,,
resplendent,adj.,"shiny, glowing",The partygoers were resplendent in diamonds and fancy dress.,The partygoers were ___________ in diamonds and fancy dress.,,,,,,,
restitution,n.,restoration to the rightful owner,Many people feel that descendants of slaves should receive restitution for the sufferings of their ancestors.,Many people feel that descendants of slaves should receive ___________ for the sufferings of their ancestors.,,,,,,,
restive,adj.,"resistant, stubborn, impatient",The restive audience pelted the band with mud and yelled nasty comments.,The _______ audience pelted the band with mud and yelled nasty comments.,,,,,,,
retract,v.,withdraw,"As the media worked itself into a frenzy, the publicist hurriedly retracted his client’s sexist statement.","As the media worked itself into a frenzy, the publicist hurriedly _______ed his client’s sexist statement.",,,,,,,
revel,v.,to enjoy intensely,Theodore reveled in his new status as Big Man on Campus.,Theodore _____ed in his new status as Big Man on Campus.,,,,,,,
revere,v.,"to esteem, show deference, venerate",The doctor saved countless lives with his combination of expertise and kindness and became universally revered.,The doctor saved countless lives with his combination of expertise and kindness and became universally ______d.,,,,,,,
revoke,v.,to take back,"After missing the curfew set by the court for eight nights in a row, Marcel’s freedom of movement was revoked.","After missing the curfew set by the court for eight nights in a row, Marcel’s freedom of movement was ______d.",,,,,,,
rhapsodize,v.,to engage in excessive enthusiasm,"The critic rhapsodized about the movie, calling it an instant classic.","The critic __________d about the movie, calling it an instant classic.",,,,,,,
ribald,adj.,"coarsely, crudely humorous  S SAT Vocabulary","While some giggled at the ribald joke involving a parson’s daughter, most sighed and rolled their eyes.","While some giggled at the ______ joke involving a parson’s daughter, most sighed and rolled their eyes.",,,,,,,
rife,adj.,abundant,"Surprisingly, the famous novelist’s writing was rife with spelling errors.","Surprisingly, the famous novelist’s writing was ____ with spelling errors.",,,,,,,
ruminate,v.,"to contemplate, reflect","Terry liked to ruminate while sitting on the banks of the river, staring pensively into the water.","Terry liked to ________ while sitting on the banks of the river, staring pensively into the water.",,,,,,,
ruse,n.,a trick  S,Oliver concocted an elaborate ruse for sneaking out of the house to meet his girlfriend while simultaneously giving his mother the impression that he was asleep in bed.,Oliver concocted an elaborate ____ for sneaking out of the house to meet his girlfriend while simultaneously giving his mother the impression that he was asleep in bed.,,,,,,,
saccharine,adj.,sickeningly sweet,"Tom’s saccharine manner, although intended to make him popular, actually repelled his classmates.","Tom’s __________ manner, although intended to make him popular, actually repelled his classmates.",,,,,,,
sacrosanct,adj.,"holy, something that should not be criticized","In the United States, the Constitution is often thought of as a sacrosanct document.","In the United States, the Constitution is often thought of as a __________ document.",,,,,,,
sagacity,n.,"shrewdness, soundness of perspective","With remarkable sagacity, the wise old man predicted and thwarted his children’s plan to ship him off to a nursing home.","With remarkable ________, the wise old man predicted and thwarted his children’s plan to ship him off to a nursing home.",,,,,,,
salient,adj.,"significant, conspicuous",One of the salient differences between Alison and Nancy is that Alison is a foot taller.,One of the _______ differences between Alison and Nancy is that Alison is a foot taller.,,,,,,,
salutation,n.,a greeting,Andrew regularly began letters with the bizarre salutation “Ahoy ahoy.”,Andrew regularly began letters with the bizarre __________ “Ahoy ahoy.”,,,,,,,
salve,n.,a soothing balm,"After Tony applied a salve to his brilliant red sunburn, he soon felt a little better.","After Tony applied a _____ to his brilliant red sunburn, he soon felt a little better.",,,,,,,
sanctimonious,adj.,giving a hypocritical appearance of piety,"The sanctimonious Bertrand delivered stern lectures on the Ten Commandments to anyone who would listen, but thought nothing of stealing cars to make some cash on the side.","The _____________ Bertrand delivered stern lectures on the Ten Commandments to anyone who would listen, but thought nothing of stealing cars to make some cash on the side.",,,,,,,
sanguine,adj.,"optimistic, cheery","Polly reacted to any bad news with a sanguine smile and the chirpy cry, “When life hands you lemons, make lemonade!”","Polly reacted to any bad news with a ________ smile and the chirpy cry, “When life hands you lemons, make lemonade!”",,,,,,,
satiate,v.,to satisfy excessively,"Satiated after eating far too much turkey and stuffing, Liza lay on the couch watching football and suffering from stomach pains.","_______d after eating far too much turkey and stuffing, Liza lay on the couch watching football and suffering from stomach pains.",,,,,,,
scathing,adj.,"sharp, critical, hurtful  SAT Vocabulary S","Two hours after breaking up with Russell, Suzanne thought of the perfect scathing retort to his accusations.","Two hours after breaking up with Russell, Suzanne thought of the perfect ________ retort to his accusations.",,,,,,,
scintillating,adj.,sparkling,The ice skater’s scintillating rhinestone costume nearly blinded the judges.,The ice skater’s _____________ rhinestone costume nearly blinded the judges.,,,,,,,
scrupulous,adj.,"painstaking, careful","With scrupulouscare, Sam cut a snowflake out of white paper.","With __________care, Sam cut a snowflake out of white paper.",,,,,,,
scurrilous,adj.,"vulgar, coarse","When Bruno heard the scurrilous accusation being made about him, he could not believe it because he always tried to be nice to everyone.","When Bruno heard the __________ accusation being made about him, he could not believe it because he always tried to be nice to everyone.",,,,,,,
sedentary,adj.,"sitting, settled",The sedentary cat did little but loll in the sun.,The _________ cat did little but loll in the sun.,,,,,,,
semaphore,n.,a visual signal,Anne and Diana communicated with a semaphore involving candles and window shades.,Anne and Diana communicated with a _________ involving candles and window shades.,,,,,,,
seminal,adj.,"original, important, creating a field","Stephen Greenblatt’s essays on Shakespeare proved to be seminal, because they initiated the critical school of New Historicism.","Stephen Greenblatt’s essays on Shakespeare proved to be _______, because they initiated the critical school of New Historicism.",,,,,,,
sensual,adj.,"involving sensory gratification, usually related to sex","With a coy smile, the guest on the blind-date show announced that he considered himself a very sensual person.","With a coy smile, the guest on the blind-date show announced that he considered himself a very _______ person.",,,,,,,
sensuous,adj.,involving sensory gratification,"Paul found drinking Coke, with all the little bubbles bursting on his tongue, a very sensuous experience.","Paul found drinking Coke, with all the little bubbles bursting on his tongue, a very ________ experience.",,,,,,,
serendipity,n.,"luck, finding good things without looking for them","In an amazing bit of serendipity, penniless Paula found a $20 bill in the subway station.","In an amazing bit of ___________, penniless Paula found a $20 bill in the subway station.",,,,,,,
serene,adj.,"calm, untroubled","Louise stood in front of the Mona Lisa, puzzling over the famous woman’s serene smile.","Louise stood in front of the Mona Lisa, puzzling over the famous woman’s ______ smile.",,,,,,,
servile,adj.,subservient,"The servile porter crept around the hotel lobby, bowing and quaking before the guests.","The _______ porter crept around the hotel lobby, bowing and quaking before the guests.",,,,,,,
sinuous,adj.,"lithe, serpentine","With the sinuous movements of her arms, the dancer mimicked the motion of a snake.","With the _______ movements of her arms, the dancer mimicked the motion of a snake.",,,,,,,
sobriety,n.,"sedate, calm",Jason believed that maintaining his sobriety in times of crisis was the key to success in life.,Jason believed that maintaining his ________ in times of crisis was the key to success in life.,,,,,,,
solicitous,adj.,"concerned, attentive","Jim, laid up in bed with a nasty virus, enjoyed the solicitous attentions of his mother, who brought him soup and extra blankets.","Jim, laid up in bed with a nasty virus, enjoyed the __________ attentions of his mother, who brought him soup and extra blankets.",,,,,,,
solipsistic,adj.,believing that oneself is all that exists  S SAT Vocabulary,Colette’s solipsistic attitude completely ignored the plight of the homeless people on the street.,Colette’s ___________ attitude completely ignored the plight of the homeless people on the street.,,,,,,,
soluble,adj.,able to dissolve  solvent 1.  a substance that can dissolve other substances  2.  able to pay debts,The plot of the spy film revolved around an untraceable and water-soluble poison.,The plot of the spy film revolved around an untraceable and water-_______ poison.,,,,,,,
somnolent,adj.,"sleepy, drowsy",The somnolent student kept falling asleep and waking up with a jerk.,The _________ student kept falling asleep and waking up with a jerk.,,,,,,,
sophomoric,adj.,"immature, uninformed",The mature senior rolled her eyes at the sophomoric gross-out humor of the underclassman.,The mature senior rolled her eyes at the __________ gross-out humor of the underclassman.,,,,,,,
sovereign,adj.,having absolute authority in a certain realm,"The sovereign queen, with steely resolve, ordered that the traitorous nobleman be killed.","The _________ queen, with steely resolve, ordered that the traitorous nobleman be killed.",,,,,,,
speculative,adj.,not based in fact,"Sadly, Tessa was convicted on merely speculative evidence.","Sadly, Tessa was convicted on merely ___________ evidence.",,,,,,,
spurious,adj.,false but designed to seem plausible,"Using a spurious argument, John convinced the others that he had won the board game on a technicality.","Using a ________ argument, John convinced the others that he had won the board game on a technicality.",,,,,,,
stagnate,v.,"to become or remain inactive, not develop, not flow","With no room for advancement, the waiter’s career stagnated.","With no room for advancement, the waiter’s career ________d.",,,,,,,
staid,adj.,"sedate, serious, self-restrained",The staid butler never changed his expression no matter what happened.,The _____ butler never changed his expression no matter what happened.,,,,,,,
stingy,adj.,"not generous, not inclined to spend or give","Scrooge’s stingy habits did not fit with the generous, giving spirit of Christmas.","Scrooge’s ______ habits did not fit with the generous, giving spirit of Christmas.",,,,,,,
stoic,adj.,unaffected by passion or feeling,Penelope’s faithfulness to Odysseus required that she be stoic and put off her many suitors.,Penelope’s faithfulness to Odysseus required that she be _____ and put off her many suitors.,,,,,,,
stolid,adj.,"expressing little sensibility, unemotional",Charles’s stolid reaction to his wife’s funeral differed from the passion he showed at the time of her death.,Charles’s ______ reaction to his wife’s funeral differed from the passion he showed at the time of her death.,,,,,,,
strenuous,adj.,requiring tremendous energy or stamina,Running a marathon is quite a strenuous task. So is watching an entire Star Trek marathon.,Running a marathon is quite a _________ task. So is watching an entire Star Trek marathon.,,,,,,,
strident,adj.,"harsh, loud","A strident man, Captain Von Trapp yelled at his daughter and made her cry.","A ________ man, Captain Von Trapp yelled at his daughter and made her cry.",,,,,,,
stupefy,v.,"to astonish, make insensible  SAT Vocabulary T","Veronica’s audacity and ungratefulness stupefied her best friend, Heather.","Veronica’s audacity and ungratefulness stupefied her best friend, Heather.",,,,,,,
subjugate,v.,"to bring under control, subdue",The invading force captured and subjugated the natives of that place.,The invading force captured and _________d the natives of that place.,,,,,,,
sublime,adj.,"lofty, grand, exalted",The homeless man sadly pondered his former wealth and once sublime existence.,The homeless man sadly pondered his former wealth and once _______ existence.,,,,,,,
submissive,adj.,easily yielding to authority,"In some cultures, wives are supposed to be submissive and support their husbands in all matters.","In some cultures, wives are supposed to be __________ and support their husbands in all matters.",,,,,,,
succinct,adj.,marked by compact precision,The governor’s succinct speech energized the crowd while the mayor’s rambled on and on.,The governor’s ________ speech energized the crowd while the mayor’s rambled on and on.,,,,,,,
superfluous,adj.,exceeding what is necessary,Tracy had already won the campaign so her constant flattery of others was superfluous.,Tracy had already won the campaign so her constant flattery of others was ___________.,,,,,,,
surfeit,n.,an overabundant supply or indulgence,"After partaking of the surfeit of tacos and tamales at the All-You-Can-Eat Taco Tamale Lunch Special, Beth felt rather sick.","After partaking of the _______ of tacos and tamales at the All-You-Can-Eat Taco Tamale Lunch Special, Beth felt rather sick.",,,,,,,
surmise,v.,to infer with little evidence,"After speaking to only one of the students, the teacher was able to surmise what had caused the fight.","After speaking to only one of the students, the teacher was able to _______ what had caused the fight.",,,,,,,
surreptitious,adj.,stealthy,The surreptitious CIA agents were able to get in and out of the house without anyone noticing.,The _____________ CIA agents were able to get in and out of the house without anyone noticing.,,,,,,,
surrogate,n.,one acting in place of another,The surrogate carried the child to term for its biological parents.,The _________ carried the child to term for its biological parents.,,,,,,,
swarthy,adj.,of dark color or complexion,"When he got drunk, Robinson’s white skin became rather swarthy.","When he got drunk, Robinson’s white skin became rather _______.",,,,,,,
sycophant,n.,one who flatters for self-gain  T,"Some see the people in the cabinet as the president’s closest advisors, but others see them as sycophants.","Some see the people in the cabinet as the president’s closest advisors, but others see them as _________s.",,,,,,,
tacit,adj.,expressed without words,I interpreted my parents’ refusal to talk as a tacit acceptance of my request.,I interpreted my parents’ refusal to talk as a _____ acceptance of my request.,,,,,,,
taciturn,adj.,not inclined to talk,"Though Jane never seems to stop talking, her brother is quite taciturn.","Though Jane never seems to stop talking, her brother is quite ________.",,,,,,,
tangential,adj.,"incidental, peripheral, divergent","I tried to discuss my salary, but the boss kept veering off into tangential topics.","I tried to discuss my salary, but the boss kept veering off into __________ topics.",,,,,,,
tantamount,adj.,equivalent in value or significance  T SAT Vocabulary,"When it comes to sports, fearing your opponent is tantamount to losing.","When it comes to sports, fearing your opponent is __________ to losing.",,,,,,,
tedious,adj.,"dull, boring","As time passed and the history professor continued to drone on and on, the lecture became increasingly tedious.","As time passed and the history professor continued to drone on and on, the lecture became increasingly _______.",,,,,,,
temerity,n.,"audacity, recklessness",Tom and Huck entered the scary cave armed with nothing but their own temerity.,Tom and Huck entered the scary cave armed with nothing but their own ________.,,,,,,,
temperance,n.,moderation in action or thought,Maintaining temperance will ensure that you are able to think rationally and objectively.,Maintaining __________ will ensure that you are able to think rationally and objectively.,,,,,,,
tenable,adj.,able to be defended or maintained,"The department heads tore down the arguments in other people’s theses, but Johari’s work proved to be quite tenable.","The department heads tore down the arguments in other people’s theses, but Johari’s work proved to be quite _______.",,,,,,,
tenuous,adj.,having little substance or strength,"Your argument is very tenuous, since it relies so much on speculation and hearsay.","Your argument is very _______, since it relies so much on speculation and hearsay.",,,,,,,
terrestrial,adj.,relating to the land,Elephants are terrestrial animals.,Elephants are ___________ animals.,,,,,,,
timorous,adj.,"timid, fearful","When dealing with the unknown, timorous Tallulah almost always broke into tears.","When dealing with the unknown, ________ Tallulah almost always broke into tears.",,,,,,,
tirade,n.,a long speech marked by harsh or biting language,"Every time Jessica was late, her boyfriend went into a long tirade about punctuality.","Every time Jessica was late, her boyfriend went into a long ______ about punctuality.",,,,,,,
toady,n.,one who flatters in the hope of gaining favors,The other kids referred to the teacher’s pet as the Tenth Grade Toady.,The other kids referred to the teacher’s pet as the Tenth Grade _____.,,,,,,,
tome,n.,a large book,"In college, I used to carry around an anatomy book that was the heaviest tome in my bag.","In college, I used to carry around an anatomy book that was the heaviest ____ in my bag.",,,,,,,
torpid,adj.,"lethargic, dormant, lacking motion","The torpid whale floated, wallowing in the water for hours.","The ______ whale floated, wallowing in the water for hours.",,,,,,,
torrid,adj.,"giving off intense heat, passionate",I didn’t want to witness the neighbor’s torrid affair through the window.,I didn’t want to witness the neighbor’s ______ affair through the window.,,,,,,,
tortuous,adj.,winding,"The scary thing about driving in mountains are the narrow, tortuous roads.","The scary thing about driving in mountains are the narrow, ________ roads.",,,,,,,
tractable,adj.,easily controlled,"The horse was so tractable, Myra didn’t even need a bridle.","The horse was so _________, Myra didn’t even need a bridle.",,,,,,,
tranquil,adj.,calm,There is a time of night when nothing moves and everything is tranquil.,There is a time of night when nothing moves and everything is ________.,,,,,,,
transgress,v.,"to violate, go over a limit  SAT Vocabulary U",The criminal’s actions transgressed morality and human decency.,The criminal’s actions __________ed morality and human decency.,,,,,,,
transient,adj.,passing through briefly; passing into and out of existence,"Because virtually everyone in Palm Beach is a tourist, the population of the town is quite transient.","Because virtually everyone in Palm Beach is a tourist, the population of the town is quite _________.",,,,,,,
transmute,v.,to change or alter in form,Ancient alchemists believed that it was possible to transmute lead into gold.,Ancient alchemists believed that it was possible to _________ lead into gold.,,,,,,,
travesty,n.,a grossly inferior imitation,"According to the school newspaper’s merciless theater critic, Pacific Coast High’s rendition of the musical Oklahoma was a travesty of the original.","According to the school newspaper’s merciless theater critic, Pacific Coast High’s rendition of the musical Oklahoma was a ________ of the original.",,,,,,,
tremulous,adj.,fearful,I always feel a trifle tremulous when walking through a graveyard.,I always feel a trifle _________ when walking through a graveyard.,,,,,,,
trenchant,adj.,"effective, articulate, clear-cut",The directions that accompanied my new cell phone were trenchant and easy to follow.,The directions that accompanied my new cell phone were _________ and easy to follow.,,,,,,,
trepidation,n.,"fear, apprehension","Feeling great trepidation, Anya refused to jump into the pool because she thought she saw a shark in it.","Feeling great ___________, Anya refused to jump into the pool because she thought she saw a shark in it.",,,,,,,
trite,adj.,"not original, overused","Keith thought of himself as being very learned, but everyone else thought he was trite because his observations about the world were always the same as David Letterman’s.","Keith thought of himself as being very learned, but everyone else thought he was _____ because his observations about the world were always the same as David Letterman’s.",,,,,,,
truculent,adj.,"ready to fight, cruel","This club doesn’t really attract the dangerous types, so why was that bouncer being so truculent?","This club doesn’t really attract the dangerous types, so why was that bouncer being so _________?",,,,,,,
truncate,v.,to shorten by cutting off,"After winning the derby, the jockey truncated the long speech he had planned and thanked only his mom and his horse.","After winning the derby, the jockey ________d the long speech he had planned and thanked only his mom and his horse.",,,,,,,
turgid,adj.,"swollen, excessively embellished in style or language",The haughty writer did not realize how we all really felt about his turgid prose.,The haughty writer did not realize how we all really felt about his ______ prose.,,,,,,,
turpitude,n.,"depravity, moral corruption  U",Sir Marcus’s chivalry often contrasted with the turpitude he exhibited with the ladies at the tavern.,Sir Marcus’s chivalry often contrasted with the _________ he exhibited with the ladies at the tavern.,,,,,,,
ubiquitous,adj.,"existing everywhere, widespread",It seems that everyone in the United States has a television. The technology is ubiquitous here.,It seems that everyone in the United States has a television. The technology is __________ here.,,,,,,,
umbrage,n.,"resentment, offense  V SAT Vocabulary","He called me a lily-livered coward, and I took umbrage at the insult.","He called me a lily-livered coward, and I took _______ at the insult.",,,,,,,
uncanny,adj.,of supernatural character or origin,Luka had an uncanny ability to know exactly what other people were thinking. She also had an uncanny ability to shoot fireballs from her hands.,Luka had an _______ ability to know exactly what other people were thinking. She also had an _______ ability to shoot fireballs from her hands.,,,,,,,
unctuous,adj.,"smooth or greasy in texture, appearance, manner","The unctuous receptionist seemed untrustworthy, as if she was only being helpful because she thought we might give her a big tip.","The ________ receptionist seemed untrustworthy, as if she was only being helpful because she thought we might give her a big tip.",,,,,,,
undulate,v.,to move in waves,"As the storm began to brew, the placid ocean began to undulate to an increasing degree.","As the storm began to brew, the placid ocean began to ________ to an increasing degree.",,,,,,,
upbraid,v.,to criticize or scold severely,The last thing Lindsay wanted was for Lisa to upbraid her again about missing the rent payment.,The last thing Lindsay wanted was for Lisa to _______ her again about missing the rent payment.,,,,,,,
usurp,v.,"to seize by force, take possession of without right","The rogue army general tried to usurp control of the government, but he failed because most of the army backed the legally elected president.","The rogue army general tried to _____ control of the government, but he failed because most of the army backed the legally elected president.",,,,,,,
utilitarian,adj.,relating to or aiming at usefulness,"The beautiful, fragile vase couldn’t hold flowers or serve any other utilitarian purpose.","The beautiful, fragile vase couldn’t hold flowers or serve any other ___________ purpose.",,,,,,,
utopia,n.,an imaginary and remote place of perfection  V,"Everyone in the world wants to live in a utopia, but no one can agree how to go about building one.","Everyone in the world wants to live in a ______, but no one can agree how to go about building one.",,,,,,,
vacillate,v.,"to fluctuate, hesitate","I prefer a definite answer, but my boss kept vacillating between the distinct options available to us.","I prefer a definite answer, but my boss kept vacillating between the distinct options available to us.",,,,,,,
vacuous,adj.,"lack of content or ideas, stupid",Beyonce realized that the lyrics she had just penned were completely vacuous and tried to add more substance.,Beyonce realized that the lyrics she had just penned were completely _______ and tried to add more substance.,,,,,,,
validate,v.,"to confirm, support, corroborate",Yoko’s chemistry lab partner was asleep during the experiment and could not validate the accuracy of her methods.,Yoko’s chemistry lab partner was asleep during the experiment and could not ________ the accuracy of her methods.,/ˈvæl.ɪ.deɪt/,/ˈvæl.ɪ.deɪt/; /ˈvæl.ə.deɪt/,https://api.dictionaryapi.dev/media/pronunciations/en/validate-uk.mp3,verb,To render valid.; To check or prove the validity of; verify.; To have its validity successfully proven.,,
vapid,adj.,"lacking liveliness, dull",The professor’s comments about the poem were surprisingly vapid and dull.,The professor’s comments about the poem were surprisingly _____ and dull.,,,,,,,
variegated,adj.,"diversified, distinctly marked",Each wire in the engineering exam was variegated by color so that the students could figure out which one was which.,Each wire in the engineering exam was __________ by color so that the students could figure out which one was which.,/ˈveəɹɪəˌɡeɪtɪd/,/ˈveəɹɪəˌɡeɪtɪd/; /ˈveəɹɪəˌɡeɪtɪd/,https://api.dictionaryapi.dev/media/pronunciations/en/variegated-us.mp3,verb; adjective,"To add variety to something.; To change the appearance of something, especially by covering with patches or streaks of different colour.; To dapple.; Streaked, spotted, or otherwise marked with a variety of color.; (by extension) Very colorful.",redecorate; remodel; reskin; diversify; maculate; patterned; multicolored; motley; polychromatic; mottle; spot,
vehemently,adv.,marked by intense force or emotion  SAT Vocabulary V,The candidate vehemently opposed cutting back on Social Security funding.,The candidate __________ opposed cutting back on Social Security funding.,/ˈviː.ə.məntli/,/ˈviː.ə.məntli/,https://api.dictionaryapi.dev/media/pronunciations/en/vehemently-us.mp3,adverb,In a vehement manner; expressing with a strong or forceful attitude.,,
veneer,n.,"a superficial or deceptively attractive appearance, façade","Thanks to her Chanel makeup, Shannen was able to maintain a veneer of perfection that hid the flaws underneath.","Thanks to her Chanel makeup, Shannen was able to maintain a ______ of perfection that hid the flaws underneath.",/vəˈniə(ɹ)/,/vəˈniə(ɹ)/; [vɨˈniə̆ɹ],https://api.dictionaryapi.dev/media/pronunciations/en/veneer-us.mp3,noun; verb,A thin decorative covering of fine material (usually wood) applied to coarser wood or other material.; An attractive appearance that covers or disguises true nature or feelings.; To apply veneer to.; To disguise with apparent goodness.,,
venerable,adj.,deserving of respect because of age or achievement,The venerable Supreme Court justice had made several key rulings in landmark cases throughout the years.,The _________ Supreme Court justice had made several key rulings in landmark cases throughout the years.,/ˈvɛnəɹəbl/,/ˈvɛnəɹəbl/,,adjective,"Commanding respect because of age, dignity, character or position.; Worthy of reverence.; Ancient, antiquated or archaic.; Made sacred especially by religious or historical association.; Giving an impression of aged goodness and benevolence.",,
